classes;punition;date;motif;heure;eleve_id
4A;Mot dans le carnet;2024-03-12;BAVARDAGES;;sVdFZwC4K9wlDxCwGXq17leJNHiDxHI2qfI-CxUKgGc
4A;Mot dans le carnet;2024-04-15;Insultes;;sVdFZwC4K9wlDxCwGXq17leJNHiDxHI2qfI-CxUKgGc
4A;Mot dans le carnet;2024-04-15;travail non fait;;sVdFZwC4K9wlDxCwGXq17leJNHiDxHI2qfI-CxUKgGc
4A;Retenue;2024-05-14;Devoirs non faits;;sVdFZwC4K9wlDxCwGXq17leJNHiDxHI2qfI-CxUKgGc
4A;Retenue;2024-05-24;Devoirs non faits;;sVdFZwC4K9wlDxCwGXq17leJNHiDxHI2qfI-CxUKgGc
6A;Mot dans le carnet;2023-09-22;Devoirs non faits;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2023-10-16;Changement de place sans autorisation;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2023-11-27;Attitude en classe;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Exclusion de cours;2023-11-27;Retard injustifié;13:50:00;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2024-01-17;a désobéi au professeur;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2024-01-19;Changement de place sans autorisation;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Retenue;2024-01-25;Il a seché l'heure de permanence et il est  resté au toilettes en cachette;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2024-02-02;nan;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Exclusion de cours;2024-03-11;Retard injustifié;13:50:00;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2024-03-27;Attitude en classe;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2024-04-01;bavardage incessant, Incivisme;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2024-04-05;Bavardages incessants. Un grand manque de concentra;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2024-04-05;nan;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2024-04-05;Attitude en classe;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Devoir supplémentaire;2024-04-18;Attitude en classe;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2024-05-13;a insulté son camarade de classe;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2024-05-17;bavardages incessants;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Retenue;2024-05-31;cumul d'attitude inadmissible,manque de respect,insolence.;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
6A;Mot dans le carnet;2024-06-05;bavardage;;c8MRZT86QuztF0kxSrVvv3olL6gdD5zZ0kND3zSXuWI
2C;Exclusion de cours;2023-11-09;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR;15:00:00;f24xbMdgQjBbxNQcODLnIdHS9j-VVjsNh37UTcgJWsE
2C;Retenue;2024-04-03;Utilisation de telephone;;f24xbMdgQjBbxNQcODLnIdHS9j-VVjsNh37UTcgJWsE
6A;Mot dans le carnet;2023-09-22;Devoirs non faits;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Exclusion de cours;2023-09-22;Agitation en classe, bavardage incessant;08:00:00;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Mot dans le carnet;2023-10-09;bavardage et manque de concentration;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Mot dans le carnet;2023-10-18;Agitation en classe;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Retenue;2023-11-10;oublis de carnet;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Mot dans le carnet;2023-11-10;travail non fait;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Retenue;2023-11-17;Devoirs non faits;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Exclusion de cours;2023-11-20;Bavardages incessants comme d'habitude.Un grand manque de concentration. Perturbation du cours. Manque de carnet comme toujours., oublie constant de matériel;08:00:00;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Retenue;2023-11-23;Attitude en classe, bavardage et manque de concentration;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Retenue;2024-02-02;Agitation en classe;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Mot dans le carnet;2024-04-01;Devoirs non faits;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Exclusion de cours;2024-04-05;Retard injustifié;12:50:00;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Mot dans le carnet;2024-04-15;Bavardages incessants. Un grand manque de concentra;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Retenue;2024-04-22;Devoirs non faits;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Retenue;2024-05-16;Il a seché l'heure de permanence et il est  resté au toilettes en cachette;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Mot dans le carnet;2024-05-20;Devoirs non faits, oublie constant de matériel;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
6A;Retenue;2024-05-20;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR;;hWmNJug_uHbjDDEW3IwJMSS9x96Iuz0og4W51_pETAY
5C;Mot dans le carnet;2024-04-18;nan;;wfgRwUsCHNYOwJ0xWBu92tmL-3kiBEPYJOiEoFz7_k0
4A;Retenue;2024-01-12;Utilisation de télèphone;;Edw8Jzim2N5-wBkrN5RmvQmGObeolIyqgnXQO-7tG8U
6B;Mot dans le carnet;2023-11-30;bavardage incessant;;3gxXu8cFCDMOoZJEga90NN5EcWlloEDMH5zsLTBIYXE
6B;Retenue;2023-12-01;telephone;;3gxXu8cFCDMOoZJEga90NN5EcWlloEDMH5zsLTBIYXE
6B;Mot dans le carnet;2024-04-16;Attitude en classe;;3gxXu8cFCDMOoZJEga90NN5EcWlloEDMH5zsLTBIYXE
6B;Mot dans le carnet;2024-05-14;Bavardages incessants ;;3gxXu8cFCDMOoZJEga90NN5EcWlloEDMH5zsLTBIYXE
6B;Mot dans le carnet;2024-05-23;Agitation en classe;;3gxXu8cFCDMOoZJEga90NN5EcWlloEDMH5zsLTBIYXE
4B;Mot dans le carnet;2023-11-27;comportement en classe;;Aiaps-fLivSMrsnufwbekCTbg0Ayju7JH10bcYmmMKw
4B;Mot dans le carnet;2024-01-12;bavardages incessants;;Aiaps-fLivSMrsnufwbekCTbg0Ayju7JH10bcYmmMKw
4B;Mot dans le carnet;2024-01-26;Agitation en classe, bavardages incessants;;Aiaps-fLivSMrsnufwbekCTbg0Ayju7JH10bcYmmMKw
4C;Mot dans le carnet;2023-11-27;Bavardages et manque de concentration.;;a6jBNRAbMMFhO9e5KBrsM7Yjqh5MYb0EE4e2yB_AkRc
4C;Mot dans le carnet;2024-04-22;bavardage incessant;;a6jBNRAbMMFhO9e5KBrsM7Yjqh5MYb0EE4e2yB_AkRc
4C;Mot dans le carnet;2024-05-23;bavardage incessant;;a6jBNRAbMMFhO9e5KBrsM7Yjqh5MYb0EE4e2yB_AkRc
5C;Mot dans le carnet;2023-11-21;Bavardages incessants ;;8565x7mAoYrvbsQKYvfkxaL6H1KVe63YIb5OQkB7cSU
3C;Mot dans le carnet;2024-02-09;Attitude en classe;;KZ7t1XJ5BKqTC40hypDlcc1HAreErPJpa5T-8qq37Nw
3C;Mot dans le carnet;2024-05-14;Attitude en classe;;KZ7t1XJ5BKqTC40hypDlcc1HAreErPJpa5T-8qq37Nw
1A;Exclusion de cours;2024-04-22;Prend son téléphone en cours, utilisation du portable;11:10:00;UQebojALlUhQ92lbdwUPUCuwh_Pd1d5DEZ_BNMXpRAA
1B/C;Retenue;2023-10-12;Manque de respect envers le professeur;;QoqOnH3bGj7OPAwYwhOqmLJBWiJTMLC7nPrui-Xry7U
4A;Mot dans le carnet;2023-09-14;travail non fait;;lqfaBfqtkz6Dw1-L07gt-6oP6VukCT5gG8EIMM9J8hw
4A;Mot dans le carnet;2024-01-29;nan;;lqfaBfqtkz6Dw1-L07gt-6oP6VukCT5gG8EIMM9J8hw
4A;Mot dans le carnet;2024-04-08;Attitude en classe;;lqfaBfqtkz6Dw1-L07gt-6oP6VukCT5gG8EIMM9J8hw
4A;Mot dans le carnet;2023-09-14;Attitude en classe;;guTcFwhL8KH3DYaY_JJwRiPODXNXm9jL5Oe0qOUkftw
4A;Exclusion de cours;2023-12-12;nan;08:00:00;guTcFwhL8KH3DYaY_JJwRiPODXNXm9jL5Oe0qOUkftw
4A;Exclusion de cours;2023-12-13;nan;11:10:00;guTcFwhL8KH3DYaY_JJwRiPODXNXm9jL5Oe0qOUkftw
4A;Retenue;2024-01-16;devoir non rendu;;guTcFwhL8KH3DYaY_JJwRiPODXNXm9jL5Oe0qOUkftw
4A;Retenue;2024-03-15;Attitude inadmissible en cours;;guTcFwhL8KH3DYaY_JJwRiPODXNXm9jL5Oe0qOUkftw
4A;Mot dans le carnet;2024-05-20;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR, insolence;;guTcFwhL8KH3DYaY_JJwRiPODXNXm9jL5Oe0qOUkftw
4A;Retenue;2024-05-24;Devoirs non faits;;guTcFwhL8KH3DYaY_JJwRiPODXNXm9jL5Oe0qOUkftw
2C;Retenue;2023-10-17;nan;;f0qIAR9jwMa7Z7m7Ddd4a2n1_zrAS7UTLa0ec5jTYGA
2C;Exclusion de cours;2023-11-09;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR;15:00:00;f0qIAR9jwMa7Z7m7Ddd4a2n1_zrAS7UTLa0ec5jTYGA
2C;Exclusion de cours;2023-12-11;a désobéi au professeur, attitude inacceptable;11:10:00;f0qIAR9jwMa7Z7m7Ddd4a2n1_zrAS7UTLa0ec5jTYGA
2C;Retenue;2024-02-20;Utilisation de télèphone;;f0qIAR9jwMa7Z7m7Ddd4a2n1_zrAS7UTLa0ec5jTYGA
2C;Retenue;2024-04-03;Utilisation de telephone;;f0qIAR9jwMa7Z7m7Ddd4a2n1_zrAS7UTLa0ec5jTYGA
4C;Mot dans le carnet;2023-09-19;Insulte un camarade;;mt0aeRSwd-7grLsQvc0nTddh9kdMbwddVo6FrtFV0n4
2B;Mot dans le carnet;2023-11-07;Attitude en classe;;1ZCM-2DJ6rXJtJRgjT_ynhtCd230_rbyTx5PitDasxM
2B;Exclusion de cours;2023-11-23;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR;11:10:00;1ZCM-2DJ6rXJtJRgjT_ynhtCd230_rbyTx5PitDasxM
2B;Retenue;2023-11-30;Attitude inadmissible en cours;;1ZCM-2DJ6rXJtJRgjT_ynhtCd230_rbyTx5PitDasxM
2B;Retenue;2024-03-21;ATTITUDE INACCEPTABLE ENVERS L'ENSEIGNANT ET MANQUE DE RESPECT;;1ZCM-2DJ6rXJtJRgjT_ynhtCd230_rbyTx5PitDasxM
2B;Exclusion de cours;2024-05-21;nan;10:10:00;1ZCM-2DJ6rXJtJRgjT_ynhtCd230_rbyTx5PitDasxM
2B;Mot dans le carnet;2024-05-22;bavardage;;1ZCM-2DJ6rXJtJRgjT_ynhtCd230_rbyTx5PitDasxM
3B;Exclusion de cours;2023-12-01;insolance;15:00:00;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Exclusion de cours;2024-01-30;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR;11:10:00;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Mot dans le carnet;2024-02-06;nan;;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Retenue;2024-02-08;Devoirs non faits;;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Mot dans le carnet;2024-03-22;tricherie lors d'une évaluation;;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Exclusion de cours;2024-04-24;bavardage et manque de concentration;09:00:00;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Mot dans le carnet;2024-05-14;Bavardages incessants ;;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Mot dans le carnet;2024-05-17;Agitation en classe;;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Exclusion de cours;2024-05-30;Bavardages incessants ;15:00:00;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Mot dans le carnet;2024-06-03;bavardages incessants;;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Mot dans le carnet;2024-06-03;manque de motivation et de travail;;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Mot dans le carnet;2024-06-05;Bavardages incessants ;;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
3B;Exclusion de cours;2024-06-06;Bavardages incessants ;15:00:00;I6MokE805zSKX1H58zuYodJmll01pmxMTX-XBV7mxWI
1B/C;Retenue;2023-12-19;Utilisation de télèphone;;G8Ju-2Ifjp-GHD8sr7yFl_oW_GEedv3dVWTW2SrHKWQ
1B/C;Exclusion de cours;2024-02-15;nan;08:00:00;G8Ju-2Ifjp-GHD8sr7yFl_oW_GEedv3dVWTW2SrHKWQ
1B/C;Retenue;2023-10-12;Manque de respect envers le professeur;;OTbXvDcCLfSODcPT79cWA1KgEu3RaLxeDMGjlOfONb4
4B;Mot dans le carnet;2024-02-05;BAVARDAGES;;X3XmlDo3QiZaYZkPz_QPsUrtwgcVizFnOS3easx9gjM
4B;Mot dans le carnet;2024-02-16;bavardage et manque de concentration;;X3XmlDo3QiZaYZkPz_QPsUrtwgcVizFnOS3easx9gjM
4B;Retenue;2024-04-18;Utilisation de télèphone;;X3XmlDo3QiZaYZkPz_QPsUrtwgcVizFnOS3easx9gjM
4B;Devoir supplémentaire;2024-06-05;Agitation en classe, attitude inacceptable, bavardages incessants, Perturbe le cours de façon répétée malgrè les avertissements du professeur;;X3XmlDo3QiZaYZkPz_QPsUrtwgcVizFnOS3easx9gjM
4B;Devoir supplémentaire;2024-06-07;Comportement inadmissible en classe, rire d'une voix forte en classe ce qui perturbe le cours.;;X3XmlDo3QiZaYZkPz_QPsUrtwgcVizFnOS3easx9gjM
4B;Mot dans le carnet;2024-06-14;nan;;X3XmlDo3QiZaYZkPz_QPsUrtwgcVizFnOS3easx9gjM
3C;Mot dans le carnet;2024-03-18;comportement en classe;;MJdVsOMZlk3JTvt3UNBl_0v9iHhYn0BcKN5Z87Lcd0A
6B;Mot dans le carnet;2023-11-10;Attitude en classe;;V0HWUKgQU7ynWQdI4315Cx-zDTZn21aUO0dKTZwHXvE
6B;Mot dans le carnet;2023-12-05;Attitude en classe;;V0HWUKgQU7ynWQdI4315Cx-zDTZn21aUO0dKTZwHXvE
6B;Mot dans le carnet;2023-12-18;Bavardages et manque de concentration.;;V0HWUKgQU7ynWQdI4315Cx-zDTZn21aUO0dKTZwHXvE
6B;Mot dans le carnet;2024-03-18;Bavardages et manque de concentration.;;V0HWUKgQU7ynWQdI4315Cx-zDTZn21aUO0dKTZwHXvE
6B;Retenue;2024-02-01;nan;;ZmB2fdr8PPpSJbbTcBiQblWMFWvLu0a-1j6nfK9NcvE
6B;Retenue;2024-03-20;plus de 4 retards sans excuses;;ZmB2fdr8PPpSJbbTcBiQblWMFWvLu0a-1j6nfK9NcvE
6B;Exclusion de cours;2024-04-02;Attitude en classe;08:00:00;ZmB2fdr8PPpSJbbTcBiQblWMFWvLu0a-1j6nfK9NcvE
6B;Mot dans le carnet;2024-04-16;Attitude en classe;;ZmB2fdr8PPpSJbbTcBiQblWMFWvLu0a-1j6nfK9NcvE
1B/C;Retenue;2023-10-05;Agitation en classe, Joue avec son téléphone en classe, Perturbe le cours de façon répétée malgrè les avertissements du professeur;;_o19fHK4I8PyGnVPnXJm6Y_BopXSx7tUqwoY04cn55Y
1B/C;Retenue;2023-10-17;utilisation du téléphone en permanence;;_o19fHK4I8PyGnVPnXJm6Y_BopXSx7tUqwoY04cn55Y
1B/C;Mot dans le carnet;2023-12-05;Bavardages et manque de concentration.;;_o19fHK4I8PyGnVPnXJm6Y_BopXSx7tUqwoY04cn55Y
4B;Mot dans le carnet;2024-02-01;bavardage incessant;;FzrqNKHY2-jqML6kFRSMHPbmU06yYQR-aDuuqXyIS5A
4B;Retenue;2024-02-06;oublie constant de matériel;;FzrqNKHY2-jqML6kFRSMHPbmU06yYQR-aDuuqXyIS5A
4B;Mot dans le carnet;2024-04-01;Bavardages incessants. Un grand manque de concentra;;FzrqNKHY2-jqML6kFRSMHPbmU06yYQR-aDuuqXyIS5A
4B;Mot dans le carnet;2024-06-14;Agitation en classe;;FzrqNKHY2-jqML6kFRSMHPbmU06yYQR-aDuuqXyIS5A
5C;Mot dans le carnet;2024-01-26;Chante en classe et manque de concentration;;sOQF81Fs7Ny3h4kgxtCoF68REismL-ducibBGHS2VL0
5C;Mot dans le carnet;2024-02-09;attitude inacceptable;;sOQF81Fs7Ny3h4kgxtCoF68REismL-ducibBGHS2VL0
3C;Retenue;2023-11-21;Devoirs non faits;;ogE2VznlkFgn_Ife3PzXfVLOVEHNk7elct2DAXM34R4
5B;Mot dans le carnet;2023-10-13;BAVARDAGES;;yvbruqZmkyi8oTBMEl60FoaER9rksI-FgPZSSr1KwGE
5B;Mot dans le carnet;2024-03-15;Attitude en classe;;yvbruqZmkyi8oTBMEl60FoaER9rksI-FgPZSSr1KwGE
2B;Retenue;2024-04-08;Utilisation de télèphone;;sCbpPi7xtOUEPjx59dYqe1BkokVrqxqiqdtk_KQfFI4
2C;Exclusion de cours;2024-04-04;absence de matériel;10:10:00;kA_yzW_hrnxp1wqFi3iApHbq9QprJJouqlIR5_t18GU
4B;Mot dans le carnet;2023-11-09;Attitude en classe;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Devoir supplémentaire;2023-11-27;nan;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2023-12-15;Attitude en classe;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2023-12-21;bavardages incessants;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2024-01-22;Bavardages et manque de concentration.;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2024-01-22;Bavardages et manque de concentration.;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Retenue;2024-01-30;a frapper un eleve dans la cour;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2024-03-18;Bavardages incessants. Un grand manque de concentra;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2024-04-04;Changement de place sans autorisation;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2024-04-19;Attitude en classe;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2024-04-22;attitude inacceptable;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2024-05-13;Bavardage incessant et manque de respect dans la classe;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2024-05-15;Bavardages et manque de concentration.;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Retenue;2024-05-17;à manque de respect à l'animteur et il a utilisé son télèphone au foyer;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2024-05-23;Agitation en classe, bavardage incessant;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2024-05-27;nan;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4B;Mot dans le carnet;2024-06-07;Bavardages incessants et perturbation du cours pendant une évaluation;;X4uTUNhVzKHOzZeGON8lJy3uQkbEH84AksBBOojYiBg
4C;Mot dans le carnet;2023-10-12;Attitude en classe;;c3xVW4Y2abSa5RDcCqifTDyb1sVxLZ8zv0APgEB7l2Y
4C;Retenue;2024-03-21;Utilisation de télèphone au foyer;;c3xVW4Y2abSa5RDcCqifTDyb1sVxLZ8zv0APgEB7l2Y
6C;Mot dans le carnet;2023-11-24;attitude inacceptable;;4qf5qCWoQo6CT1uYjDc3vDXzdakeHzd_qwU14BFs89I
4C;Retenue;2024-03-21;Utilisation de télèphone au foyer;;83r2W_WAssx0CCXJrsOndBNRAsRKBtMx7CtvDNZcmtI
2C;Exclusion de cours;2023-11-09;nan;10:10:00;KC8CI-9Th5bhfA1lyf5DIgjkQvqT7DV82HsmmbbUb48
4C;Mot dans le carnet;2023-11-15;jet de papiers sur ses camarades en classe;;pR058NudH3R0DsmCCDN597YygL5k9eesVykrG3Or-VQ
4C;Mot dans le carnet;2023-12-14;bavardages incessants;;pR058NudH3R0DsmCCDN597YygL5k9eesVykrG3Or-VQ
4C;Devoir supplémentaire;2024-01-29;jet de papiers sur ses camarades en classe, N'a pas rendu sa punition;;pR058NudH3R0DsmCCDN597YygL5k9eesVykrG3Or-VQ
4C;Devoir supplémentaire;2024-04-04;Bavardage incessant et manque de respect dans la classe, Perturbe le cours de façon répétée malgrè les avertissements du professeur;;pR058NudH3R0DsmCCDN597YygL5k9eesVykrG3Or-VQ
4C;Mot dans le carnet;2024-04-24;Agitation en classe, bavardages incessants;;pR058NudH3R0DsmCCDN597YygL5k9eesVykrG3Or-VQ
4C;Mot dans le carnet;2024-05-23;bavardages incessants;;pR058NudH3R0DsmCCDN597YygL5k9eesVykrG3Or-VQ
3A;Retenue;2024-04-19;Utilisation de télèphone;;OuwlkLVMjN5W9VqxPK5E70jXp59RCau48jFjVnkhbEc
3A;Mot dans le carnet;2024-05-17;Attitude en classe;;OuwlkLVMjN5W9VqxPK5E70jXp59RCau48jFjVnkhbEc
3A;Exclusion de cours;2024-06-06;Retard injustifié;12:50:00;OuwlkLVMjN5W9VqxPK5E70jXp59RCau48jFjVnkhbEc
2A;Devoir supplémentaire;2023-10-10;nan;;2eX6Ptr4UVl8dUTBpqrGKzYJobgX1dd_amwPpv2oFk0
4A;Mot dans le carnet;2023-09-18;Bavardages incessants ;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Mot dans le carnet;2023-09-21;bavardages incessants;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Mot dans le carnet;2023-09-22;Bavardages incessants ;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Retenue;2023-09-25;Agitation en classe, Bavardages incessants ;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Mot dans le carnet;2023-10-10;Attitude en classe;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Retenue;2023-11-17;ATTITUDE INACCEPTABLE EN CLASSE ENVERS LE PROFESSEUR;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Mot dans le carnet;2023-11-20;Bavardages et manque de concentration.;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Mot dans le carnet;2023-12-05;nan;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Mot dans le carnet;2024-02-19;Attitude en classe;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Mot dans le carnet;2024-04-19;Bavardage incessant et manque de respect dans la classe, Bavardages et manque de concentration.;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Mot dans le carnet;2024-05-20;nan;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Mot dans le carnet;2024-05-27;Attitude en classe;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Mot dans le carnet;2024-05-28;bavardage;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
4A;Retenue;2024-05-30;Utilisation de télèphone;;sCYOzSxlOIRsCHZ2ZwGKZlPcEllwwBOQO2NenbyNecI
2C;Exclusion de cours;2023-11-09;nan;10:10:00;vlGS65G2uTHK-S-uustlPxCruoiNealjos2mM3l5O6A
2C;Exclusion de cours;2024-04-04;absence de matériel;10:10:00;vlGS65G2uTHK-S-uustlPxCruoiNealjos2mM3l5O6A
1B/C;Retenue;2023-11-17;manque de respect envers un adulte;;dHztjQ5NyqTuPnEJvGpjEGUTu_Rm4guUqHK_QvYpNfo
6B;Mot dans le carnet;2023-11-30;Attitude inadmissible en cours;;6f40NN6_onsOjdsNneeUruTeNvn2kiFwOW5zKB7gQlI
6B;Mot dans le carnet;2024-03-18;bavardage et manque de concentration;;6f40NN6_onsOjdsNneeUruTeNvn2kiFwOW5zKB7gQlI
6B;Mot dans le carnet;2024-05-28;Insulte un camarade;;6f40NN6_onsOjdsNneeUruTeNvn2kiFwOW5zKB7gQlI
6B;Mot dans le carnet;2024-06-03;Insulte un camarade;;6f40NN6_onsOjdsNneeUruTeNvn2kiFwOW5zKB7gQlI
3C;Retenue;2024-04-04;Utilisation de téléphone portable;;KFFZXli8vSvWUuMnM7wqAFCVIdLourxabZ-lHno_S4Q
3C;Mot dans le carnet;2024-05-31;insolence;;KFFZXli8vSvWUuMnM7wqAFCVIdLourxabZ-lHno_S4Q
5B;Devoir supplémentaire;2023-09-21;bavardage et manque de concentration;;kOVF88m42DC3sO1NghNkwLzq9R1hd27-OV-n3bm1GEw
5B;Mot dans le carnet;2023-11-24;bavardage incessant;;kOVF88m42DC3sO1NghNkwLzq9R1hd27-OV-n3bm1GEw
5B;Mot dans le carnet;2023-11-27;Bavardages incessants ;;kOVF88m42DC3sO1NghNkwLzq9R1hd27-OV-n3bm1GEw
5B;Mot dans le carnet;2024-03-14;bavardage incessant;;kOVF88m42DC3sO1NghNkwLzq9R1hd27-OV-n3bm1GEw
5B;Mot dans le carnet;2024-03-29;Jet d' objet en classe;;kOVF88m42DC3sO1NghNkwLzq9R1hd27-OV-n3bm1GEw
